Date,Open,Close,Volume,days,Buy_Sell
2020-04-22,84.949997,84.440002,10320700,3761,1
2020-04-23,86.300003,86.800003,14226500,3762,1
2020-04-24,88.480003,87.010002,9175500,3763,1
2020-04-27,86.75,89.709999,12037100,3766,1
2020-04-28,89.550003,89.910004,10645200,3767,1
2020-04-29,92.480003,94.620003,12342800,3768,0
2020-04-30,93.720001,92.0,12222000,3769,0
2020-05-01,91.510002,89.440002,13250100,3770,1
2020-05-04,88.760002,91.440002,11192400,3773,1
2020-05-05,94.5,92.889999,13608700,3774,0
2020-05-06,92.849998,90.050003,11145900,3775,1
2020-05-07,92.980003,92.639999,9749600,3776,1
2020-05-08,95.0,95.470001,8585900,3777,0
2020-05-11,94.209999,93.370003,7101000,3780,0
2020-05-12,93.129997,91.099998,8749100,3781,0
2020-05-13,89.900002,88.699997,12215100,3782,1
2020-05-14,87.290001,90.050003,10678200,3783,0
2020-05-15,90.650002,89.160004,10113000,3784,1
2020-05-18,92.400002,92.550003,12304300,3787,0
2020-05-19,92.529999,89.620003,7749300,3788,1
2020-05-20,91.0,93.0,9160000,3789,0
2020-05-21,92.769997,92.040001,8830900,3790,0
2020-05-22,91.449997,90.279999,8563100,3791,1
2020-05-26,92.489998,93.300003,9430000,3795,1
2020-05-27,94.68,93.900002,7822600,3796,0
2020-05-28,93.610001,90.870003,9633300,3797,1
2020-05-29,90.190002,91.699997,17010000,3798,1
2020-06-01,90.940002,92.790001,7344000,3801,1
2020-06-02,93.779999,94.690002,7880300,3802,1
2020-06-03,95.970001,97.18,8440200,3803,0
2020-06-04,96.779999,96.279999,6371700,3804,1
2020-06-05,99.080002,100.809998,12760100,3805,1
2020-06-08,102.629997,103.239998,11090700,3808,0
2020-06-09,100.699997,101.529999,10745400,3809,0
2020-06-10,101.0,97.580002,10486300,3810,0
2020-06-11,92.300003,89.370003,14944800,3811,1
2020-06-12,93.620003,92.389999,9532400,3812,0
2020-06-15,89.089996,91.230003,12289500,3815,1
2020-06-16,94.989998,94.029999,8726700,3816,0
2020-06-17,93.830002,91.540001,6019900,3817,1
2020-06-18,91.0,91.940002,7064100,3818,0
2020-06-19,94.410004,90.629997,14838800,3819,1
2020-06-22,90.32,91.589996,5939200,3822,0
2020-06-23,92.5,91.440002,6317700,3823,0
2020-06-24,89.989998,87.639999,8974500,3824,1
2020-06-25,87.309998,89.209999,7398000,3825,0
